ID,Rationale,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity
2.2.11,"Users who can change the time on a computer could cause several problems. For example, time stamps on event log entries could be made inaccurate, time stamps on files and folders that are created or modified could be incorrect, and computers that belong to a domain may not be able to authenticate themselves or users who try to log on to the domain from them. Also, because the Kerberos authentication protocol requires that the requestor and authenticator have their clocks synchronized within an administrator-defined skew period, an attacker who changes a computer's time may cause that computer to be unable to obtain or grant Kerberos tickets.",User Rights Assignment,Change the system time,accesschk,SeSystemTimePrivilege,,,,,,BUILTIN\Administrators;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators;NT AUTHORITY\LOCAL SERVICE,=,Medium
2.2.12,Changing the time zone represents little vulnerability because the system time is not affected. This setting merely enables users to display their preferred time zone while being synchronized with Domain Controllers in different time zones.,User Rights Assignment,Change the time zone,accesschk,SeTimeZonePrivilege,,,,,,BUILTIN\Device Owners;BUILTIN\Users;BUILTIN\Administrators;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators;NT AUTHORITY\LOCAL SERVICE,=,Medium
2.2.13,"Users who can change the page file size could make it extremely small or move the file to a highly fragmented storage volume, which could cause reduced computer performance.",User Rights Assignment,Create a pagefile,accesschk,SeCreatePagefilePrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.14,A user account that is given this user right has complete control over the system and can lead to the system being compromised. It is highly recommended that you do not assign any user accounts this right,User Rights Assignment,Create a token object,accesschk,SeCreateTokenPrivilege,,,,,,,,=,Medium
2.2.15,"Users who can create global objects could affect Windows services and processes that run under other user or system accounts. This capability could lead to a variety of problems, such as application failure, data corruption and elevation of privilege.",User Rights Assignment,Create global objects,accesschk,SeCreateGlobalPrivilege,,,,,,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium
2.2.16,Users who have the Create permanent shared objects user right could create new shared objects and expose sensitive data to the network,User Rights Assignment,Create permanent shared objects,accesschk,SeCreatePermanentPrivilege,,,,,,,,=,Medium
2.2.17,"Users who have the Create symbolic links user right could inadvertently or maliciously expose your system to symbolic link attacks. Symbolic link attacks can be used to change the permissions on a file, to corrupt data, to destroy data, or as a Denial of Service attack.",User Rights Assignment,Create symbolic links (DC),accesschk,SeCreateSymbolicLinkPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.18.1,"Users who have the Create symbolic links user right could inadvertently or maliciously expose your system to symbolic link attacks. Symbolic link attacks can be used to change the permissions on a file, to corrupt data, to destroy data, or as a Denial of Service attack.",User Rights Assignment,Create symbolic links (Member),accesschk,SeCreateSymbolicLinkPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.18.2,"Users who have the Create symbolic links user right could inadvertently or maliciously expose your system to symbolic link attacks. Symbolic link attacks can be used to change the permissions on a file, to corrupt data, to destroy data, or as a Denial of Service attack.",User Rights Assignment,"Create symbolic links (Member, Hyper-V)",accesschk,SeCreateSymbolicLinkPrivilege,,,,,,S-1-5-83-0;BUILTIN\Administrators,NT VIRTUAL MACHINE\Virtual Machines;BUILTIN\Administrators,=,Medium
2.2.19,"The Debug programs user right can be exploited to capture sensitive computer information from system memory, or to access and modify kernel or application structures. Some attack tools exploit this user right to extract hashed passwords and other private security information, or to insert rootkit code. By default, the Debug programs user right is assigned only to administrators, which helps to mitigate the risk from this vulnerability.",User Rights Assignment,Debug programs,accesschk,SeDebugPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.20,"Users who can log on to the computer over the network can enumerate lists of account names, group names, and shared resources. Users with permission to access shared folders and files can connect over the network and possibly view or modify data",User Rights Assignment,Deny access to this computer from the network (DC),accesschk,SeDenyNetworkLogonRight,,,,,,BUILTIN\Guests,BUILTIN\Guests,=,Medium
2.2.21,"Users who can log on to the computer over the network can enumerate lists of account names, group names, and shared resources. Users with permission to access shared folders and files can connect over the network and possibly view or modify data",User Rights Assignment,Deny access to this computer from the network (Member),accesschk,SeDenyNetworkLogonRight,,,,,,BUILTIN\Guests,BUILTIN\Guests;NT AUTHORITY\Local account and member of Administrators group,=,Medium
2.2.22,Accounts that have the Log on as a batch job user right could be used to schedule jobs that could consume excessive computer resources and cause a DoS condition,User Rights Assignment,Deny log on as a batch job,accesschk,SeDenyBatchLogonRight,,,,,,,BUILTIN\Guests,=,Medium
2.2.23,"Accounts that can log on as a service could be used to configure and start new unauthorized services, such as a keylogger or other malicious software. The benefit of the specified countermeasure is somewhat reduced by the fact that only users with administrative privileges can install and configure services, and an attacker who has already attained that level of access could configure the service to run with the System account.",User Rights Assignment,Deny log on as a service,accesschk,SeDenyServiceLogonRight,,,,,,,BUILTIN\Guests,=,Medium
2.2.24,"Any account with the ability to log on locally could be used to log on at the console of the computer. If this user right is not restricted to legitimate users who need to log on to the console of the computer, unauthorized users might download and run malicious software that elevates their privileges.",User Rights Assignment,Deny log on locally,accesschk,SeDenyInteractiveLogonRight,,,,,,BUILTIN\Guests,BUILTIN\Guests,=,Medium
2.2.25,"Any account with the right to log on through Remote Desktop Services could be used to log on to the remote console of the computer. If this user right is not restricted to legitimate users who need to log on to the console of the computer, unauthorized users might download and run malicious software that elevates their privileges",User Rights Assignment,Deny log on through Remote Desktop Services (DC),accesschk,SeDenyRemoteInteractiveLogonRight,,,,,,,BUILTIN\Guests,=,Medium
2.2.26,"Any account with the right to log on through Remote Desktop Services could be used to log on to the remote console of the computer. If this user right is not restricted to legitimate users who need to log on to the console of the computer, unauthorized users might download and run malicious software that elevates their privileges",User Rights Assignment,Deny log on through Remote Desktop Services (Member),accesschk,SeDenyRemoteInteractiveLogonRight,,,,,,,BUILTIN\Guests;NT AUTHORITY\Local account,=,Medium
2.2.27,Misuse of the Enable computer and user accounts to be trusted for delegation user right could allow unauthorized users to impersonate other users on the network. An attacker could exploit this privilege to gain access to network resources and make it difficult to determine what has happened after a security incident.,User Rights Assignment,Enable computer and user accounts to be trusted for delegation (DC),accesschk,SeEnableDelegationPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.28,Misuse of the Enable computer and user accounts to be trusted for delegation user right could allow unauthorized users to impersonate other users on the network. An attacker could exploit this privilege to gain access to network resources and make it difficult to determine what has happened after a security incident,User Rights Assignment,Enable computer and user accounts to be trusted for delegation (Member),accesschk,SeEnableDelegationPrivilege,,,,,,,,=,Medium
2.2.29,"Any user who can shut down a computer could cause a DoS condition to occur. Therefore, this user right should be tightly restricted",User Rights Assignment,Force shutdown from a remote system,accesschk,SeRemoteShutdownPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.30,"An attacker could use this capability to create a large number of audited events, which would make it more difficult for a system administrator to locate any illicit activity. Also, if the event log is configured to overwrite events as needed, any evidence of unauthorized activities could be overwritten by a large number of unrelated events",User Rights Assignment,Generate security audits,accesschk,SeAuditPrivilege,,,,,,NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium
2.2.31,"An attacker with the Impersonate a client after authentication user right could create a service, trick a client to make them connect to the service, and then impersonate that client to elevate the attacker's level of access to that of the client.",User Rights Assignment,Impersonate a client after authentication (DC),accesschk,SeImpersonatePrivilege,,,,,,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium
2.2.32,"An attacker with the Impersonate a client after authentication user right could create a service, trick a client to make them connect to the service, and then impersonate that client to elevate the attacker's level of access to that of the client",User Rights Assignment,Impersonate a client after authentication (Member),accesschk,SeImpersonatePrivilege,,,,,,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium
2.2.33,"A user who is assigned this user right could increase the scheduling priority of a process to Real-Time, which would leave little processing time for all other processes and could lead to a DoS condition",User Rights Assignment,Increase scheduling priority,accesschk,SeIncreaseBasePriorityPrivilege,,,,,,Window Manager\Window Manager Group;BUILTIN\Administrators,Window Manager\Window Manager Group;BUILTIN\Administrators,=,Medium
2.2.34,Device drivers run as highly privileged code. A user who has the Load and unload device drivers user right could unintentionally install malicious code that masquerades as a device driver. Administrators should exercise greater care and install only drivers with verified digital signatures,User Rights Assignment,Load and unload device drivers,accesschk,SeLoadDriverPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.35,"Users with the Lock pages in memory user right could assign physical memory to several processes, which could leave little or no RAM for other processes and result in a DoS condition.",User Rights Assignment,Lock pages in memory,accesschk,SeLockMemoryPrivilege,,,,,,,,=,Medium
2.2.36,"The Log on as a batch job user right presents a low-risk vulnerability. For most organizations, the default settings are sufficient.",User Rights Assignment,Log on as a batch job (DC),accesschk,SeBatchLogonRight,,,,,,BUILTIN\Performance Log Users;BUILTIN\Backup Operators;BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.37.1,The ability to manage the Security event log is a powerful user right and it should be closely guarded. Anyone with this user right can clear the Security log to erase important evidence of unauthorized activity.,User Rights Assignment,Manage auditing and security log (DC),accesschk,SeSecurityPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.37.2,The ability to manage the Security event log is a powerful user right and it should be closely guarded. Anyone with this user right can clear the Security log to erase important evidence of unauthorized activity.,User Rights Assignment,Manage auditing and security log (DC and Exchange),accesschk,SeSecurityPrivilege,,,,,,BUILTIN\Administrators,NT AUTHORITY\EXCHANGE SERVERS;BUILTIN\Administrators,=,Medium
2.2.38,The ability to manage the Security event log is a powerful user right and it should be closely guarded. Anyone with this user right can clear the Security log to erase important evidence of unauthorized activity.,User Rights Assignment,Manage auditing and security log (Member),accesschk,SeSecurityPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.39,By modifying the integrity label of an object owned by another user a malicious user may cause them to execute code at a higher level of privilege than intended,User Rights Assignment,Modify an object label,accesschk,SeReLabelPrivilege,,,,,,,,=,Medium
2.2.40,"Anyone who is assigned the Modify firmware environment values user right could configure the settings of a hardware component to cause it to fail, which could lead to data corruption or a DoS condition.",User Rights Assignment,Modify firmware environment values,accesschk,SeSystemEnvironmentPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.41,"A user who is assigned the Perform volume maintenance tasks user right could delete a volume, which could result in the loss of data or a DoS condition.",User Rights Assignment,Perform volume maintenance tasks,accesschk,SeManageVolumePrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.42,"The Profile single process user right presents a moderate vulnerability. An attacker with this user right could monitor a computer's performance to help identify critical processes that they might wish to attack directly. The attacker may also be able to determine what processes run on the computer so that they could identify countermeasures that they may need to avoid, such as antivirus software, an intrusion-detection system, or which other users are logged on to a computer",User Rights Assignment,Profile single process,accesschk,SeProfileSingleProcessPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.43,"The Profile system performance user right poses a moderate vulnerability. Attackers with this user right could monitor a computer's performance to help identify critical processes that they might wish to attack directly. Attackers may also be able to determine what processes are active on the computer so that they could identify countermeasures that they may need to avoid, such as antivirus software or an intrusion detection system",User Rights Assignment,Profile system performance,accesschk,SeSystemProfilePrivilege,,,,,,NT SERVICE\WdiServiceHost;BUILTIN\Administrators,NT SERVICE\WdiServiceHost;BUILTIN\Administrators,=,Medium
2.2.44,"Users with the Replace a process level token privilege are able to start processes as other users whose credentials they know. They could use this method to hide their unauthorized actions on the computer. (On Windows 2000-based computers, use of the Replace a process level token user right also requires the user to have the Adjust memory quotas for a process user right that is discussed earlier in this section.)",User Rights Assignment,Replace a process level token,accesschk,SeAssignPrimaryTokenPrivilege,,,,,,NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium
2.2.45,"An attacker with the Restore files and directories user right could restore sensitive data to a computer and overwrite data that is more recent, which could lead to loss of important data, data corruption, or a denial of service. Attackers could overwrite executable files that are used by legitimate administrators or system services with versions that include malicious software to grant themselves elevated privileges, compromise data, or install backdoors for continued access to the computer.",User Rights Assignment,Restore files and directories,accesschk,SeRestorePrivilege,,,,,,BUILTIN\Backup Operators;BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.46,"The ability to shut down Domain Controllers and Member Servers should be limited to a very small number of trusted Administrators. Although the Shut down the system user right requires the ability to log on to the server, you should be very careful about which accounts and groups you allow to shut down a Domain Controller or Member Server.",User Rights Assignment,Shut down the system,accesschk,SeShutdownPrivilege,,,,,,BUILTIN\Backup Operators;BUILTIN\Users;BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.2.47,"The Synchronize directory service data user right affects Domain Controllers; only Domain Controllers should be able to synchronize directory service data. Domain Controllers have this user right inherently, because the synchronization process runs in the context of the System account on Domain Controllers. Attackers who have this user right can view all information stored within the directory. They could then use some of that information to facilitate additional attacks or expose sensitive data, such as direct telephone numbers or physical addresses.",User Rights Assignment,Synchronize directory service data (DC),accesschk,SeSyncAgentPrivilege,,,,,,,,=,Medium
2.2.48,"Any users with the Take ownership of files or other objects user right can take control of any object, regardless of the permissions on that object, and then make any changes they wish to that object. Such changes could result in exposure of data, corruption of data, or a DoS condition.",User Rights Assignment,Take ownership of files or other objects,accesschk,SeTakeOwnershipPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
2.3.1.1,"In some organizations, it can be a daunting management challenge to maintain a regular schedule for periodic password changes for local accounts. Therefore, you may want to disable the built-in Administrator account instead of relying on regular password changes to protect it from attack. Another reason to disable this built-in account is that it cannot be locked out no matter how many failed logons it accrues, which makes it a prime target for brute force attacks that attempt to guess passwords. Also, this account has a well-known security identifier (SID) and there are third-party tools that allow authentication by using the SID rather than the account name. This capability means that even if you rename the Administrator account, an attacker could launch a brute force attack by using the SID to log on",Security Options,Accounts: Administrator account status (Member),localaccount,500,,,,,,TRUE,FALSE,=,Medium
2.3.1.2,Organizations that want to effectively implement identity management policies and maintain firm control of what accounts are used to log onto their computers will probably want to block Microsoft accounts. Organizations may also need to block Microsoft accounts in order to meet the requirements of compliance standards that apply to their information systems.,Security Options,Accounts: Block Microsoft accounts,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,NoConnectedUser,,,,0,3,=,Low
2.3.1.3,"The default Guest account allows unauthenticated network users to log on as Guest with no password. These unauthorized users could access any resources that are accessible to the Guest account over the network. This capability means that any network shares with permissions that allow access to the Guest account, the Guests group, or the Everyone group will be accessible over the network, which could lead to the exposure or corruption of data.",Security Options,Accounts: Guest account status (Member),localaccount,501,,,,,,FALSE,FALSE,=,Medium
2.3.1.4,"Blank passwords are a serious threat to computer security and should be forbidden through both organizational policy and suitable technical measures. In fact, the default settings for Active Directory domains require complex passwords of at least seven characters. However, if users with the ability to create new accounts bypass your domainbased password policies, they could create accounts with blank passwords. For example, a user could build a stand-alone computer, create one or more accounts with blank passwords, and then join the computer to the domain. The local accounts with blank passwords would still function. Anyone who knows the name of one of these unprotected accounts could then use it to log on.",Security Options,Accounts: Limit local account use of blank passwords to console logon only,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,LimitBlankPasswordUse,,,,1,1,=,Medium
2.3.1.5,"The Administrator account exists on all computers that run the Windows 2000 or newer operating systems. If you rename this account, it is slightly more difficult for unauthorized persons to guess this privileged user name and password combination. The built-in Administrator account cannot be locked out, regardless of how many times an attacker might use a bad password. This capability makes the Administrator account a popular target for brute force attacks that attempt to guess passwords. The value of this countermeasure is lessened because this account has a well-known SID, and there are third-party tools that allow authentication by using the SID rather than the account name. Therefore, even if you rename the Administrator account, an attacker could launch a brute force attack by using the SID to log on.",Security Options,Accounts: Rename administrator account,localaccount,500,,,,,,Administrator,Administrator,!=,Low
2.3.1.6,"The Guest account exists on all computers that run the Windows 2000 or newer operating systems. If you rename this account, it is slightly more difficult for unauthorized persons to guess this privileged user name and password combination.",Security Options,Accounts: Rename guest account,localaccount,501,,,,,,Guest,Guest,!=,Low
2.3.2.1,"Prior to the introduction of auditing subcategories in Windows Vista, it was difficult to track events at a per-system or per-user level. The larger event categories created too many events and the key information that needed to be audited was difficult to find",Security Options,Audit: Force audit policy subcategory settings to override audit policy category settings,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,SCENoApplyLegacyAuditPolicy,,,,,1,=,Low
2.3.2.2,"If the computer is unable to record events to the Security log, critical evidence or important troubleshooting information may not be available for review after a security incident. Also, an attacker could potentially generate a large volume of Security log events to purposely force a computer shutdown.",Security Options,Audit: Shut down system immediately if unable to log security audits,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Lsa,CrashOnAuditFail,,,,0,0,=,Low
2.3.4.1,"Users may be able to move data on removable disks to a different computer where they have administrative privileges. The user could then take ownership of any file, grant themselves full control, and view or modify any file. The fact that most removable storage devices will eject media by pressing a mechanical button diminishes the advantage of this policy setting.",Security Options,Devices: Allowed to format and eject removable media,Registry,,HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,AllocateDASD,,,,,2,=,Medium
2.3.4.2,"It may be appropriate in some organizations to allow users to install printer drivers on their own workstations. However, you should allow only Administrators, not users, to do so on servers, because printer driver installation on a server may unintentionally cause the computer to become less stable. A malicious user could install inappropriate printer drivers in a deliberate attempt to damage the computer, or a user might accidentally install malicious software that masquerades as a printer driver. It is feasible for an attacker to disguise a Trojan horse program as a printer driver. The program may appear to users as if they must use it to print, but such a program could unleash malicious code on your computer network.",Security Options,Devices: Prevent users from installing printer drivers,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers,AddPrinterDrivers,,,,0,1,=,Medium
2.3.5.1,"If you enable this policy setting, jobs that are created by server operators by means of the AT service will execute in the context of the account that runs that service. By default, that is the local SYSTEM account. If you enable this policy setting, server operators could perform tasks that SYSTEM is able to do but that they would typically not be able to do, such as add their account to the local Administrators group",Security Options,Domain controller: Allow server operators to schedule tasks (DC),Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Lsa,SubmitControl,,,,,0,=,Medium
2.3.5.2,"Unsigned network traffic is susceptible to man-in-the-middle attacks. In such attacks, an intruder captures packets between the server and the client, modifies them, and then forwards them to the client. Where LDAP servers are concerned, an attacker could cause a client to make decisions that are based on false records from the LDAP directory. To lower the risk of such an intrusion in an organization's network, you can implement strong physical security measures to protect the network infrastructure. Also, you could implement Internet Protocol security (IPsec) authentication header mode (AH), which performs mutual authentication and packet integrity for IP traffic to make all types of manin-the-middle attacks extremely difficult. Additionally, allowing the use of regular, unsigned LDAP permits credentials to be received over the network in clear text, which could very easily result in the interception of account passwords by other systems on the network.",Security Options,Domain controller: LDAP server signing requirements,Registry,,HKLM:\System\CurrentControlSet\Services\NTDS\Parameters,LDAPServerIntegrity,,,,1,2,=,Medium
2.3.5.3,"If you enable this policy setting on all Domain Controllers in a domain, domain members will not be able to change their computer account passwords, and those passwords will be more susceptible to attack.",Security Options,Domain controller: Refuse machine account password changes (DC),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters,RefusePasswordChange,,,,1,0,=,Medium
